run_id,metric,country,provider,product,sampling_run_id,region,alpha2_code,metric_value,metric_value_lower,metric_value_upper,week,Run_Type,region_name,run_date_dynamic,run_date_string,year,date,incremental_column,Measurement
20250526-18365215,ASF,SVN,Orbis,25220.000 ON,20220602-0001,{},si,98.1,97.3,98.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,SVN,Orbis,25220.000 ON,20220602-0001,{},si,96.1,95.2,97.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,SVN,Orbis,25220.000 ON,20220602-0001,{},si,97.9,96.6,99.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,SVN,Orbis,25220.000 ON,20220602-0001,{},si,98.6,97.8,99.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,SVK,Orbis,25220.000 ON,20220602-0001,{},sk,68.1,64.3,71.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,SVK,Orbis,25220.000 ON,20220602-0001,{},sk,92,90.8,93,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,SVK,Orbis,25220.000 ON,20220602-0001,{},sk,93.4,92.4,94.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,SVK,Orbis,25220.000 ON,20220602-0001,{},sk,95.2,94.5,95.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,SRB,Orbis,25220.000 ON,20220602-0001,{},rs,87.9,86.5,89,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,SRB,Orbis,25220.000 ON,20220602-0001,{},rs,82.4,78.8,86,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,SRB,Orbis,25220.000 ON,20220602-0001,{},rs,95.2,94,96.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,SRB,Orbis,25220.000 ON,20220602-0001,{},rs,94.4,93.6,95.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,SGP,Orbis,25220.000 ON,20220602-0001,{},sg,97.8,97.3,98.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,SGP,Orbis,25220.000 ON,20220602-0001,{},sg,96.8,96.1,97.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,SGP,Orbis,25220.000 ON,20220602-0001,{},sg,97.8,97.3,98.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,SGP,Orbis,25220.000 ON,20220602-0001,{},sg,80.1,78.5,81.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,SAU,Orbis,25220.000 ON,20220602-0001,{},sa,20.5,17.6,23.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,SAU,Orbis,25220.000 ON,20220602-0001,{},sa,48.3,44.4,52,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,SAU,Orbis,25220.000 ON,20220602-0001,{},sa,57.9,54.3,61.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,SAU,Orbis,25220.000 ON,20220602-0001,{},sa,84.7,79.5,90.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,RUS,Orbis,25220.000 ON,20220602-0001,{},ru,97,95.6,98,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,RUS,Orbis,25220.000 ON,20220602-0001,{},ru,97.9,97.2,98.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,RUS,Orbis,25220.000 ON,20220602-0001,{},ru,70.3,68.6,72,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,RUS,Orbis,25220.000 ON,20220602-0001,{},ru,85.5,84.3,86.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,ROU,Orbis,25220.000 ON,20220602-0001,{},ro,96.2,94.7,97.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,ROU,Orbis,25220.000 ON,20220602-0001,{},ro,94.9,93.3,96.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,ROU,Orbis,25220.000 ON,20220602-0001,{},ro,88.2,86.9,89.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,ROU,Orbis,25220.000 ON,20220602-0001,{},ro,81.2,79.7,82.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,REU,Orbis,25220.000 ON,20240109-0001,{},re,87.7,84,91.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,REU,Orbis,25220.000 ON,20240109-0001,{},re,100,100,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,REU,Orbis,25220.000 ON,20240109-0001,{},re,96.3,94.3,98.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,REU,Orbis,25220.000 ON,20240109-0001,{},re,96,93.6,98,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,QAT,Orbis,25220.000 ON,20220602-0001,{},qa,8.2,6.2,10.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,QAT,Orbis,25220.000 ON,20220602-0001,{},qa,7.6,0,15,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,QAT,Orbis,25220.000 ON,20220602-0001,{},qa,0,0,0,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,QAT,Orbis,25220.000 ON,20220602-0001,{},qa,100,100,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,PRT,Orbis,25220.000 ON,20220602-0001,{},pt,88.7,87.5,89.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,PRT,Orbis,25220.000 ON,20220602-0001,{},pt,87.7,86.4,89,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,PRT,Orbis,25220.000 ON,20220602-0001,{},pt,96,95.2,96.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,PRT,Orbis,25220.000 ON,20220602-0001,{},pt,97.4,96.7,98,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
